! This profile dataset was generated at ECMWF by Marco Matricardi, April 2008.
! Details on the profile dataset can be found in:
! Marco Matricardi, 2008, "The generation of RTTOV regression
! coefficients for IASI and AIRS using a new profile training set and a new
! line-by-line database", ECMWF Technical memorandum No. 564.
! http://www.ecmwf.int/publications/library/ecpublications/_pdf/tm/501-600/tm564.pdf
!
!
!
!  ECMWF 83 diverse profiles on 101 levels
!  Profile 81 is an envelope of minimum values
!  Profile 82 is an envelope of maximum values
!  Profile 83 is the mean profile
!  Format:
!  Profile number
!  Year     Month     Day     Latitude     Longitude     Surface Pressure     Land(1)/Sea(0) mask
!  P(hPa)         T(K)           Wv(ppmv)       CO2(ppmv)      O3(ppmv)       N2O(ppmv)      CO(ppmv)       CH4(ppmv)
Profile     1
   2007      2        20        57.00200   -68.80000     977.38452             0.93520
   0.587760E+01   0.240642E+03   0.429169E+01   0.374961E+03   0.914562E+01   0.740800E-01   0.144130E-01   0.110265E+01
   0.695670E+01   0.238457E+03   0.424417E+01   0.374961E+03   0.939522E+01   0.879600E-01   0.128899E-01   0.114213E+01
   0.816550E+01   0.236740E+03   0.418126E+01   0.375028E+03   0.950807E+01   0.107820E+00   0.117334E-01   0.120641E+01
   0.951190E+01   0.235429E+03   0.409083E+01   0.375165E+03   0.953359E+01   0.126750E+00   0.114141E-01   0.126764E+01
   0.110038E+02   0.232559E+03   0.398231E+01   0.375321E+03   0.945962E+01   0.141490E+00   0.111195E-01   0.131508E+01
   0.126492E+02   0.228753E+03   0.389501E+01   0.375476E+03   0.910892E+01   0.153920E+00   0.108144E-01   0.135496E+01
   0.144559E+02   0.226349E+03   0.383896E+01   0.375578E+03   0.856595E+01   0.165830E+00   0.104651E-01   0.139316E+01
   0.164318E+02   0.225685E+03   0.379575E+01   0.375626E+03   0.788472E+01   0.179520E+00   0.100627E-01   0.143083E+01
   0.185847E+02   0.224958E+03   0.371529E+01   0.375637E+03   0.709416E+01   0.192980E+00   0.962138E-02   0.146716E+01
   0.209224E+02   0.221286E+03   0.356107E+01   0.375676E+03   0.605493E+01   0.205930E+00   0.915963E-02   0.150212E+01
