! $Id: diverse_52profiles_101L.dat,v 1.2 2003/07/23 14:10:03 paulv Exp $
! $Revision: 1.2 $
!
!  ECMWF 52 diverse profiles from 60L set 
!  Prof50 = dry test / Prof51 = moist test / Prof52 = mean 
! Number Date/Time    Lat            Long            Ps(hPa)     Land fraction
!    P(hPa)           T(degK)         Wv(kg/kg)     Ozone(kg/kg)
#01 1993091512    0.241073E+02    0.382500E+02    0.972238E+03    0.686249E+00
    0.515278E+02    0.233174E+03    0.270670E-05    0.508208E-05
    0.561259E+02    0.233440E+03    0.269912E-05    0.444363E-05
    0.609895E+02    0.233964E+03    0.257334E-05    0.379711E-05
    0.661252E+02    0.234474E+03    0.245097E-05    0.316813E-05
    0.715398E+02    0.235443E+03    0.245477E-05    0.264984E-05
    0.772395E+02    0.236436E+03    0.247109E-05    0.215467E-05
    0.832310E+02    0.237052E+03    0.248917E-05    0.185008E-05
    0.895203E+02    0.237259E+03    0.250925E-05    0.175356E-05
    0.961138E+02    0.237489E+03    0.254332E-05    0.166162E-05
    0.103017E+03    0.238999E+03    0.321780E-05    0.167027E-05
    0.110237E+03    0.240473E+03    0.387643E-05    0.167871E-05
    0.117777E+03    0.240870E+03    0.417028E-05    0.172942E-05
    0.125646E+03    0.240506E+03    0.420605E-05    0.180952E-05
    0.133846E+03    0.240130E+03    0.423949E-05    0.186704E-05
    0.142385E+03    0.239647E+03    0.426351E-05    0.180508E-05
    0.151266E+03    0.239175E+03    0.428700E-05    0.174446E-05
    0.160496E+03    0.237849E+03    0.392200E-05    0.154595E-05
    0.170078E+03    0.236248E+03    0.342848E-05    0.130276E-05
    0.180018E+03    0.234529E+03    0.296371E-05    0.106859E-05
    0.190320E+03    0.232573E+03    0.254168E-05    0.846376E-06
    0.200989E+03    0.230666E+03    0.213382E-05    0.629091E-06
    0.212028E+03    0.230170E+03    0.255963E-05    0.488472E-06
    0.223441E+03    0.229684E+03    0.297720E-05    0.350576E-06
    0.235234E+03    0.229338E+03    0.362099E-05    0.256973E-06
    0.247408E+03    0.229055E+03    0.435472E-05    0.183286E-06
    0.259969E+03    0.228838E+03    0.470679E-05    0.128043E-06
    0.272919E+03    0.228707E+03    0.454359E-05    0.974183E-07
    0.286262E+03    0.228592E+03    0.443201E-05    0.733217E-07
    0.300000E+03    0.228542E+03    0.455415E-05    0.780996E-07
    0.314137E+03    0.228493E+03    0.467414E-05    0.827930E-07
    0.328675E+03    0.228735E+03    0.103718E-04    0.982119E-07
    0.343618E+03    0.228986E+03    0.162051E-04    0.113818E-06
    0.358966E+03    0.229766E+03    0.331452E-04    0.124983E-06
